"","county","year","crmrte","prbarr","prbconv","prbpris","avgsen","polpc","density","taxpc","west","central","urban","pctmin80","wcon","wtuc","wtrd","wfir","wser","wmfg","wfed","wsta","wloc","mix","pctymle"
"1",1,87,0.0356036014854908,0.298269987106323,0.527595996856689,0.436170011758804,6.71000003814697,0.00182786001823843,2.42263269424438,30.9936809539795,0,1,0,20.2187004089355,281.425903320312,408.724487304688,221.270065307617,453.172210693359,274.177459716797,334.540008544922,477.579986572266,292.089996337891,311.910003662109,0.0801687836647034,0.0778709724545479
"2",3,87,0.0152532001957297,0.132028996944427,1.48148000240326,0.449999988079071,6.34999990463257,0.000745880010072142,1.0463320016861,26.8920783996582,0,1,0,7.91631984710693,255.102035522461,376.254180908203,196.010101318359,258.564971923828,192.307693481445,300.380004882812,409.829986572266,362.959991455078,301.470001220703,0.0302267000079155,0.0826069414615631
"3",5,87,0.0129602998495102,0.444444000720978,0.267856985330582,0.600000023841858,6.76000022888184,0.00123430998064578,0.412765949964523,34.8160514831543,1,0,0,3.16053009033203,226.946960449219,372.208435058594,229.320892333984,305.944061279297,209.697219848633,237.649993896484,358.980010986328,331.529998779297,281.369995117188,0.465116292238235,0.0721153765916824
"4",7,87,0.0267532002180815,0.364760011434555,0.525424003601074,0.435483992099762,7.1399998664856,0.00152994005475193,0.491557210683823,42.9475860595703,0,1,0,47.9160995483398,375.234527587891,397.690124511719,191.172012329102,281.065093994141,256.721435546875,281.799987792969,412.149993896484,328.269989013672,299.029998779297,0.273622035980225,0.0735372602939606
"5",9,87,0.010623199865222,0.518218994140625,0.476563006639481,0.442622989416122,8.22000026702881,0.00086018000729382,0.546948373317719,28.0547389984131,1,0,0,1.79619002342224,292.307678222656,377.312561035156,206.821487426758,289.312469482422,215.193328857422,290.890014648438,377.350006103516,367.230010986328,342.820007324219,0.060085840523243,0.0706975534558296
"6",11,87,0.0146067002788186,0.524663984775543,0.0683761015534401,0.5,13,0.00288203009404242,0.611336052417755,35.2297401428223,1,0,0,1.54069995880127,250.400634765625,401.337799072266,187.825500488281,258.564971923828,237.150741577148,258.600006103516,391.480010986328,325.709991455078,275.220001220703,0.319526642560959,0.0989191979169846
"7",13,87,0.0296408999711275,0.365004003047943,0.520606994628906,0.420832991600037,10.5500001907349,0.00133770995307714,0.51694917678833,30.6964874267578,0,0,0,32.1794013977051,238.306365966797,366.300354003906,205.535766601562,310.173706054688,259.339050292969,303.420013427734,449.839996337891,350.720001220703,283.760009765625,0.152372255921364,0.070733442902565
"8",15,87,0.0202814005315304,0.392111003398895,0.769231021404266,0.507691979408264,10.6400003433228,0.00103525002487004,0.300998568534851,34.0030364990234,0,0,0,61.0540008544922,253.592559814453,353.218200683594,199.237701416016,356.125366210938,206.281600952148,235.050003051758,416.489990234375,370.619995117188,297.130004882812,0.23495702445507,0.074305459856987
"9",17,87,0.0304288994520903,0.251599013805389,0.436441004276276,0.436892986297607,7.32000017166138,0.00129760999698192,0.350398182868958,34.9620361328125,0,0,0,40.3889999389648,193.643157958984,346.60107421875,202.95947265625,268.336303710938,208.251983642578,339.760009765625,389.510009765625,322.059997558594,278.390014648438,0.218181818723679,0.0776916295289993
"10",19,87,0.0221567004919052,0.162860006093979,1.22561001777649,0.333332985639572,10.3400001525879,0.00202425010502338,0.576744198799133,61.1525115966797,0,0,0,24.3117008209229,260.138092041016,613.22607421875,191.245223999023,290.514099121094,266.093414306641,567.059997558594,403.149993896484,258.329986572266,299.440002441406,0.0533472783863544,0.0771323218941689
